"","time","long","lat","fh","sst"
"1","2017-01-01",-84,24,42.1826388888889,21.5824999809265
"2","2017-01-01",-83,24,112.498333333333,21.4900002479553
"3","2017-01-01",-82,24,15.8572222222222,21.4000005722046
"4","2017-01-01",-83,25,16.2601388888889,20.8600001335144
"5","2017-01-01",-82,25,58.5447222222222,20.7925000190735
"6","2017-01-01",-83,26,3.57097222222222,20.3324999809265
"7","2017-01-01",-80,26,2.77819444444444,20.1475005149841
"8","2017-01-01",-96,28,66.03625,20.039999961853
"9","2017-01-01",-95,28,12.6158333333333,19.9825000762939
"10","2017-01-01",-92,28,10.8322222222222,19.8200001716614
"11","2017-01-01",-91,28,46.6997222222222,19.7649998664856
"12","2017-01-01",-90,28,62.2777777777778,19.7125000953674
"13","2017-01-01",-95,29,7.92944444444444,19.4574999809265
"14","2017-01-01",-94,29,5.5125,19.4050002098083
"15","2017-01-01",-91,29,78.7418055555556,19.2449998855591
"16","2017-01-01",-90,29,410.602638888889,19.1949996948242
"17","2017-01-01",-81,31,28.3215277777778,17.7374997138977
"18","2017-01-01",-79,31,38.2905555555556,17.6400003433228
"19","2017-01-01",-81,32,0.789166666666667,17.2424998283386
"20","2017-01-01",-80,32,4.09305555555556,17.1974997520447
"21","2017-01-01",-79,33,110.310277777778,16.664999961853
"22","2017-01-01",-74,33,19.7370833333333,16.4499998092651
"23","2017-01-01",-73,33,37.7876388888889,16.4075002670288
"24","2017-01-01",-77,34,34.7509722222222,16.0899999141693
"25","2017-01-01",-76,35,63.2291666666667,15.5650000572205
"26","2017-01-01",-75,38,117.277222222222,14.0900001525879
"27","2017-01-01",-74,38,9.20291666666667,14.0575001239777
"28","2017-01-01",-75,39,7.65069444444444,13.6124999523163
"29","2017-01-01",-74,39,193.569722222222,13.5774998664856
"30","2017-01-01",-73,39,149.195416666667,13.5499999523163
"31","2017-01-01",-72,39,3.36513888888889,13.5249998569489
"32","2017-01-01",-70,39,9.77972222222222,13.4674999713898
"33","2017-01-01",-74,40,17.9402777777778,13.1024997234344
"34","2017-01-01",-73,40,42.2165277777778,13.0774998664856
"35","2017-01-01",-72,40,207.964583333333,13.0550000667572
"36","2017-01-01",-71,40,78.0355555555556,13.0274999141693
"37","2017-01-01",-70,40,54.6755555555556,12.9974999427795
"38","2017-01-01",-68,40,83.1381944444444,12.9474997520447
"39","2017-01-01",-67,40,74.8522222222222,12.9224998950958
"40","2017-01-01",-72,41,26.86625,12.5824999809265
"41","2017-01-01",-70,41,304.354583333333,12.5299999713898
"42","2017-01-01",-69,41,31.6559722222222,12.5074999332428
"43","2017-01-01",-68,41,33.3451388888889,12.4849998950958
"44","2017-01-01",-67,41,16.5790277777778,12.4649996757507
"45","2017-01-01",-70,42,227.915833333333,12.0675001144409
"46","2017-01-01",-68,42,39.7783333333333,12.0250000953674
"47","2017-01-01",-70,43,93.6047222222222,11.602499961853
"48","2017-01-01",-68,43,4.50430555555556,11.5625
"49","2017-01-08",-83,24,191.921805555556,21.1849999427795
"50","2017-01-08",-82,24,19.5686111111111,21.1224999427795
"51","2017-01-08",-83,25,7.575,20.6524996757507
"52","2017-01-08",-82,25,11.6690277777778,20.6049995422363
"53","2017-01-08",-83,26,30.4252777777778,20.1524996757507
"54","2017-01-08",-82,26,0.106527777777778,20.1074995994568
"55","2017-01-08",-80,26,29.5505555555556,20.0250000953674
"56","2017-01-08",-83,27,0.0672222222222222,19.6574997901917
"57","2017-01-08",-97,28,31.6761111111111,19.7074999809265
"58","2017-01-08",-96,28,30.4536111111111,19.6700000762939
"59","2017-01-08",-93,28,50.8881944444444,19.5550003051758
"60","2017-01-08",-92,28,27.4183333333333,19.5150003433228
"61","2017-01-08",-91,28,67.7763888888889,19.4749999046326
"62","2017-01-08",-90,28,11.1070833333333,19.4349999427795
"63","2017-01-08",-93,29,15.7086111111111,19.039999961853
"64","2017-01-08",-92,29,37.2322222222222,19.0025000572205
"65","2017-01-08",-91,29,109.862777777778,18.9650001525879
"66","2017-01-08",-90,29,760.707083333333,18.9250001907349
"67","2017-01-08",-86,30,12.6793055555556,18.2775001525879
"68","2017-01-08",-79,31,118.99375,17.5475001335144
"69","2017-01-08",-78,31,16.9141666666667,17.5125002861023
"70","2017-01-08",-79,33,282.93,16.5699996948242
"71","2017-01-08",-77,34,62.04625,16.0325002670288
"72","2017-01-08",-76,35,169.07625,15.522500038147
"73","2017-01-08",-75,35,4.96125,15.4925000667572
"74","2017-01-08",-76,36,10.0779166666667,15.0400002002716
"75","2017-01-08",-75,36,10.305,15.0175001621246
"76","2017-01-08",-75,37,2.17402777777778,14.5375001430511
"77","2017-01-08",-75,38,198.802916666667,14.0525000095367
"78","2017-01-08",-74,38,225.671805555556,14.0400002002716
"79","2017-01-08",-73,38,10.6945833333333,14.022500038147
"80","2017-01-08",-75,39,0.592777777777778,13.5750000476837
"81","2017-01-08",-74,39,441.36875,13.5600001811981
"82","2017-01-08",-73,39,327.925138888889,13.5475001335144
"83","2017-01-08",-72,39,10.2490277777778,13.5299999713898
"84","2017-01-08",-71,39,10.6831944444444,13.5099999904633
"85","2017-01-08",-74,40,26.5556944444444,13.0824999809265
"86","2017-01-08",-73,40,59.1804166666667,13.0675001144409
"87","2017-01-08",-72,40,70.8877777777778,13.0599999427795
"88","2017-01-08",-71,40,109.093194444444,13.0425000190735
"89","2017-01-08",-70,40,26.6275,13.022500038147
"90","2017-01-08",-69,40,27.8669444444444,13.0099997520447
"91","2017-01-08",-67,40,26.6216666666667,12.9800000190735
