"","time","long","lat","fh","sst"
"1","2017-01-01",-120,32,0.5775,20.1224999427795
"2","2017-01-01",-119,32,8.06513888888889,20.2399997711182
"3","2017-01-01",-119,33,14.6555555555556,19.6574997901917
"4","2017-01-01",-118,33,2.57569444444444,19.7849998474121
"5","2017-01-01",-119,34,5.44638888888889,19.0774998664856
"6","2017-01-01",-123,36,2.205,17.8200001716614
"7","2017-01-01",-122,36,0.866805555555556,17.835000038147
"8","2017-01-01",-125,40,22.1290277777778,11.3024997711182
"9","2017-01-01",-125,41,2.55458333333333,10.4624998569489
"10","2017-01-01",-125,42,7.74888888888889,10.5724999904633
"11","2017-01-01",-126,43,0.616666666666667,8.79500007629395
"12","2017-01-01",-125,43,73.9759722222222,10.5525000095367
"13","2017-01-01",-125,46,23.8159722222222,6.14499992132187
"14","2017-01-01",-125,47,14.0866666666667,6.38499999046326
"15","2017-01-08",-120,32,9.81611111111111,20.2825002670288
"16","2017-01-08",-119,32,73.5348611111111,20.3699998855591
"17","2017-01-08",-119,33,12.1529166666667,19.7825002670288
"18","2017-01-08",-118,33,0.261666666666667,19.8774995803833
"19","2017-01-08",-121,34,17.6451388888889,19.0949993133545
"20","2017-01-08",-120,34,3.59486111111111,19.1199998855591
"21","2017-01-08",-123,36,5.92375,17.8875002861023
"22","2017-01-08",-122,36,2.385,17.9675002098083
"23","2017-01-08",-123,37,5.28680555555556,17.2800002098083
"24","2017-01-08",-125,40,14.0619444444444,10.5675001144409
"25","2017-01-08",-125,41,3.36152777777778,9.76500010490417
"26","2017-01-08",-125,42,40.36375,10.0800001621246
"27","2017-01-08",-125,43,142.226111111111,10.2625000476837
"28","2017-01-08",-125,44,188.466111111111,9.22000002861023
"29","2017-01-08",-125,45,187.876527777778,7.36750000715256
"30","2017-01-08",-125,46,643.012361111111,6.18499994277954
"31","2017-01-08",-124,46,16.0265277777778,10.6074998378754
"32","2017-01-08",-125,47,46.6561111111111,6.38249999284744
"33","2017-01-08",-126,48,3.78861111111111,3.42750003933907
"34","2017-01-15",-120,33,1.56861111111111,19.3575000762939
"35","2017-01-15",-119,33,0.903472222222222,19.4325003623962
"36","2017-01-15",-118,33,4.28402777777778,19.5300006866455
"37","2017-01-15",-121,34,30.0720833333333,18.7699995040894
"38","2017-01-15",-120,34,0.724166666666667,18.7925000190735
"39","2017-01-15",-119,34,1.28236111111111,18.8600006103516
"40","2017-01-15",-123,36,13.7847222222222,17.5499997138977
"41","2017-01-15",-122,36,8.08263888888889,17.6624999046326
"42","2017-01-15",-124,37,6.86680555555556,16.0550003051758
"43","2017-01-15",-123,37,44.9241666666667,16.9549999237061
"44","2017-01-15",-124,38,39.5822222222222,15.2550001144409
"45","2017-01-15",-125,40,194.793472222222,9.82249999046326
"46","2017-01-15",-126,41,3.76291666666667,8.48250007629395
"47","2017-01-15",-125,41,119.820277777778,8.97500014305115
"48","2017-01-15",-125,42,224.986388888889,9.38499999046326
"49","2017-01-15",-126,43,0.351527777777778,8.01499998569489
"50","2017-01-15",-125,43,340.850416666667,9.74249982833862
"51","2017-01-15",-126,44,5.42319444444444,5.80499988794327
"52","2017-01-15",-125,44,572.883055555556,8.875
"53","2017-01-15",-125,45,273.636666666667,7.13000005483627
"54","2017-01-15",-126,46,1.82541666666667,1.68499997258186
"55","2017-01-15",-125,46,1093.95236111111,5.99999994039536
"56","2017-01-15",-124,46,13.1843055555556,10.4124999046326
"57","2017-01-15",-126,47,23.0309722222222,2.09499995410442
"58","2017-01-15",-125,47,55.5493055555556,6.2024998664856
"59","2017-01-15",-126,48,71.05875,3.26500001549721
"60","2017-01-22",-120,31,1.84736111111111,20.5050001144409
"61","2017-01-22",-119,33,1.90388888888889,19.3775000572205
"62","2017-01-22",-118,33,1.31930555555556,19.4074997901917
"63","2017-01-22",-121,34,11.7613888888889,18.7574996948242
"64","2017-01-22",-123,36,1.03291666666667,17.4674997329712
"65","2017-01-22",-122,36,2.67402777777778,17.6024994850159
"66","2017-01-22",-123,37,5.13375,16.8624997138977
"67","2017-01-22",-124,38,3.12263888888889,15.2174997329712
"68","2017-01-22",-125,40,18.0866666666667,9.99499988555908
"69","2017-01-22",-125,41,1.81833333333333,9.0774998664856
"70","2017-01-22",-125,42,78.2418055555556,9.37999987602234
"71","2017-01-22",-125,43,121.043194444444,9.66000008583069
"72","2017-01-22",-125,44,117.203055555556,8.71000015735626
"73","2017-01-22",-125,45,144.429444444444,6.90749996900558
"74","2017-01-22",-125,46,453.510277777778,5.74499994516373
"75","2017-01-22",-124,46,4.84097222222222,10.1849999427795
"76","2017-01-22",-126,47,25.4322222222222,1.79999995231628
"77","2017-01-22",-125,47,78.0020833333333,5.94249999523163
"78","2017-01-22",-126,48,89.8180555555556,2.98749998211861
"79","2017-01-22",-125,48,1.20041666666667,6.62000000476837
"80","2017-01-29",-119,32,79.69,20.0749998092651
"81","2017-01-29",-120,33,23.4563888888889,19.5425000190735
"82","2017-01-29",-119,33,24.4409722222222,19.4949998855591
"83","2017-01-29",-118,33,9.33083333333333,19.4400005340576
"84","2017-01-29",-121,34,31.8402777777778,18.9950003623962
"85","2017-01-29",-122,36,8.0075,17.8299999237061
"86","2017-01-29",-123,37,91.4454166666667,17.0275001525879
"87","2017-01-29",-124,38,11.1436111111111,15.1699998378754
"88","2017-01-29",-125,40,154.560416666667,9.39250004291534
"89","2017-01-29",-126,41,7.35847222222222,7.82999992370605
"90","2017-01-29",-125,41,79.1543055555556,8.42500007152557
"91","2017-01-29",-125,42,247.677916666667,8.8050000667572
